,Cuestionario:Tema 1 - Parte Básica (Real),Cuestionario:Tema 2 - Parte Básica (Real),Cuestionario:Tema 3 - Parte Básica (Real),Cuestionario:Tema 1 - Parte Avanzada (Real),Cuestionario:Tema 2 - Parte Avanzada (Real),Cuestionario:Tema 3 - Parte Avanzada (Real),comision
372,1.0,3.0,1.5,-,3.0,-,datos_anonimizados
373,0.0,0.0,0.83,-,-,-,datos_anonimizados
374,-,-,-,-,-,-,datos_anonimizados
375,2.0,3.0,2.0,3.33,3.0,4.0,datos_anonimizados
376,3.0,2.0,2.67,4.0,3.75,3.0,datos_anonimizados
377,-,-,-,-,-,-,datos_anonimizados
378,2.0,2.0,0.83,3.0,2.0,-,datos_anonimizados
379,1.0,0.0,1.0,-,-,-,datos_anonimizados
380,2.0,3.0,3.0,4.0,4.0,4.0,datos_anonimizados
381,2.75,2.0,1.0,2.5,2.0,-,datos_anonimizados
382,3.0,3.0,1.83,3.33,4.0,-,datos_anonimizados
383,-,-,-,-,-,-,datos_anonimizados
384,-,-,-,-,-,-,datos_anonimizados
385,-,-,-,-,-,-,datos_anonimizados
386,1.0,0.0,0.0,-,-,-,datos_anonimizados
387,1.0,1.0,0.67,-,-,-,datos_anonimizados
388,2.0,2.0,3.0,2.58,2.0,2.75,datos_anonimizados
389,-,-,-,-,-,-,datos_anonimizados
390,1.0,0.0,0.5,-,-,-,datos_anonimizados
391,3.0,2.0,2.5,2.58,2.75,3.0,datos_anonimizados
392,-,-,-,-,-,-,datos_anonimizados
393,0.0,0.0,0.75,-,-,-,datos_anonimizados
394,-,-,-,-,-,-,datos_anonimizados
395,0.0,0.0,1.75,-,-,-,datos_anonimizados
396,2.0,2.0,3.0,4.0,1.75,4.0,datos_anonimizados
397,-,-,-,-,-,-,datos_anonimizados
398,3.0,2.5,1.83,3.75,1.0,-,datos_anonimizados
399,0.0,0.6,1.17,-,-,-,datos_anonimizados
400,0.0,0.0,0.0,-,-,-,datos_anonimizados
401,3.0,3.0,3.0,4.0,3.0,3.0,datos_anonimizados
402,0.0,1.0,1.5,-,-,-,datos_anonimizados
403,2.75,3.0,1.75,3.75,1.0,-,datos_anonimizados
404,3.0,2.0,3.0,4.0,2.75,4.0,datos_anonimizados
405,2.5,3.0,3.0,4.0,3.25,4.0,datos_anonimizados
406,-,-,-,-,-,-,datos_anonimizados
407,2.25,3.0,3.0,2.0,2.75,4.0,datos_anonimizados
408,0.0,0.0,0.5,-,-,-,datos_anonimizados
409,1.0,1.4,1.5,-,-,-,datos_anonimizados
410,-,-,-,-,-,-,datos_anonimizados
411,1.0,1.8,0.0,-,-,-,datos_anonimizados
412,-,-,-,-,-,-,datos_anonimizados
413,3.0,1.0,1.5,2.0,-,-,datos_anonimizados
414,3.0,0.0,0.33,2.0,-,-,datos_anonimizados
415,-,-,-,-,-,-,datos_anonimizados
416,1.5,1.0,1.67,-,-,-,datos_anonimizados
417,2.5,2.0,1.5,1.0,1.25,-,datos_anonimizados
418,-,-,-,-,-,-,datos_anonimizados
419,0.0,1.0,0.0,-,-,-,datos_anonimizados
420,-,-,-,-,-,-,datos_anonimizados
421,0.0,2.0,1.0,-,-,-,datos_anonimizados
422,3.0,2.4,2.0,2.5,2.0,2.25,datos_anonimizados
423,2.0,3.0,2.0,1.83,0.0,1.0,datos_anonimizados
424,-,-,-,-,-,-,datos_anonimizados
425,-,-,-,-,-,-,datos_anonimizados
426,0.0,0.0,1.0,-,-,-,datos_anonimizados
427,1.0,2.0,0.83,-,2.0,-,datos_anonimizados
428,3.0,3.0,3.0,2.5,4.0,4.0,datos_anonimizados
